CLIENTNUM,idstatus,Customer_Age,Gender,Dependent_count,Educationid,Maritalid,Income_Category,card_categoryid,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio,Churn
768805383,1,45,M,3,1,1,Rp 5.000.000 - Rp 8.000.000,1,39,5,1,3,12691000.0,777000,11914000.0,1144000,42,0.061,no
818770008,1,49,F,5,2,2,< Rp 3.000.000,1,44,6,1,2,8256000.0,864000,7392000.0,1291000,33,0.105,no
713982108,1,51,M,3,2,1,Rp 8.000.000 - Rp 15.000.000,1,36,4,1,0,3418000.0,0,3418000.0,1887000,20,0.0,no
769911858,1,40,F,4,1,3,< Rp 3.000.000,1,34,3,4,1,3313000.0,2517000,796000.0,1171000,20,0.76,yes
709106358,1,40,M,3,3,1,Rp 5.000.000 - Rp 8.000.000,1,21,5,1,0,4716000.0,0,4716000.0,816000,28,0.0,no
713061558,1,44,M,2,2,1,Rp 3.000.000 - Rp 5.000.000,1,36,3,1,2,4010000.0,1247000,2763000.0,1088000,24,0.311,no
810347208,1,51,M,4,4,1,> Rp 15.000.000,2,46,6,1,3,34516000.0,2264000,32252000.0,1330000,31,0.066,no
818906208,1,32,M,0,1,3,Rp 5.000.000 - Rp 8.000.000,3,27,2,2,2,29081000.0,1396000,27685000.0,1538000,36,0.048,no
710930508,1,37,M,3,3,2,Rp 5.000.000 - Rp 8.000.000,1,36,5,2,0,22352000.0,2517000,19835000.0,1350000,24,0.113,no
719661558,1,48,M,2,2,2,Rp 8.000.000 - Rp 15.000.000,1,36,6,3,3,11656000.0,1677000,9979000.0,1441000,32,0.144,no
708790833,1,42,M,5,3,3,> Rp 15.000.000,1,31,5,3,2,6748000.0,1467000,5281000.0,1201000,42,0.217,no
710821833,1,65,M,1,4,1,Rp 3.000.000 - Rp 5.000.000,1,54,6,2,3,9095000.0,1587000,7508000.0,1314000,26,0.174,no
710599683,1,56,M,1,5,2,Rp 8.000.000 - Rp 15.000.000,1,36,3,6,0,11751000.0,0,11751000.0,1539000,17,0.0,yes
816082233,1,35,M,3,2,3,Rp 5.000.000 - Rp 8.000.000,1,30,5,1,3,8547000.0,1666000,6881000.0,1311000,33,0.195,no
712396908,1,57,F,2,2,1,< Rp 3.000.000,1,48,5,2,2,2436000.0,680000,1756000.0,1570000,29,0.279,no
714885258,1,44,M,4,4,3,Rp 8.000.000 - Rp 15.000.000,1,37,5,1,2,4234000.0,972000,3262000.0,1348000,27,0.23,no
709967358,1,48,M,4,6,2,Rp 8.000.000 - Rp 15.000.000,1,36,6,2,3,30367000.0,2362000,28005000.0,1671000,27,0.078,no
753327333,1,41,M,3,4,1,Rp 8.000.000 - Rp 15.000.000,1,34,4,4,1,13535000.0,1291000,12244000.0,1028000,21,0.095,yes
806160108,1,61,M,1,1,1,Rp 3.000.000 - Rp 5.000.000,1,56,2,2,3,3193000.0,2517000,676000.0,1336000,30,0.788,no
709327383,1,45,F,2,2,1,Unknown,1,37,6,1,2,14470000.0,1157000,13313000.0,1207000,21,0.08,no
806165208,1,47,M,1,7,0,Rp 5.000.000 - Rp 8.000.000,1,42,5,2,0,20979000.0,1800000,19179000.0,1178000,27,0.086,no
708508758,2,62,F,0,2,1,< Rp 3.000.000,1,49,2,3,3,1438300.0,0,1438300.0,692000,16,0.0,no
784725333,1,41,M,3,1,1,Rp 3.000.000 - Rp 5.000.000,1,33,4,2,1,4470000.0,680000,3790000.0,931000,18,0.152,no
811604133,1,47,F,4,4,2,< Rp 3.000.000,1,36,3,3,2,2492000.0,1560000,932000.0,1126000,23,0.626,no
789124683,1,54,M,2,4,1,Rp 8.000.000 - Rp 15.000.000,1,42,4,2,3,12217000.0,0,12217000.0,1110000,21,0.0,no
771071958,1,41,F,3,2,2,< Rp 3.000.000,1,28,6,1,2,7768000.0,1669000,6099000.0,1051000,22,0.215,no
720466383,1,59,M,1,1,3,Rp 3.000.000 - Rp 5.000.000,1,46,4,1,2,14784000.0,1374000,13410000.0,1197000,23,0.093,no
804424383,1,63,M,1,4,1,Rp 5.000.000 - Rp 8.000.000,1,56,3,3,2,10215000.0,1010000,9205000.0,1904000,40,0.099,no
718813833,1,44,F,3,3,2,Unknown,1,34,5,2,2,10100000.0,0,10100000.0,1052000,18,0.0,no
